# tri-to-quad-uv-map v1 profile=rabbitear uv_layer=UVMap uv_precision=4 joins=518 source=RabbitEar.NormalSrc result=RabbitEar
u1,v1,u2,v2
0.3281,0.0203,0.3381,0.076
0.4591,0.5199,0.4652,0.5769
0.3185,0.0743,0.33,0.1313
0.3301,0.6306,0.3314,0.5723
0.3117,0.5743,0.3224,0.5174
0.3461,0.0203,0.3616,0.0753
0.4298,0.2696,0.4595,0.2343
0.3381,0.076,0.3566,0.1306
0.3091,0.13,0.3229,0.1871
0.3881,0.1298,0.4143,0.0757
0.4143,0.0757,0.4297,0.0203
0.3515,0.5171,0.3881,0.4694
0.3881,0.5173,0.4298,0.4703
0.33,0.1313,0.3523,0.1869
0.3006,0.1858,0.3174,0.236
0.3566,0.1306,0.3881,0.1866
0.3881,0.1866,0.4194,0.1305
0.3465,0.2979,0.3881,0.3241
0.3568,0.572,0.3881,0.5173
0.4194,0.1305,0.4366,0.0764
0.3881,0.5173,0.4211,0.5733
0.2943,0.2349,0.3146,0.2708
0.3881,0.3241,0.431,0.2966
0.3229,0.1871,0.3491,0.2364
0.3461,0.3252,0.3881,0.3519
0.3523,0.1869,0.3881,0.2364
0.3881,0.4087,0.4313,0.4361
0.424,0.1864,0.4448,0.1312
0.3881,0.2364,0.424,0.1864
0.4595,0.2343,0.4697,0.185
0.4298,0.4703,0.4591,0.5199
0.431,0.2966,0.4633,0.2687
0.3174,0.236,0.3473,0.2708
0.4633,0.2687,0.4773,0.2332
0.3473,0.2708,0.3881,0.2971
0.3881,0.2971,0.4298,0.2696
0.4643,0.4715,0.4773,0.5214
0.4269,0.5184,0.4487,0.5748
0.3224,0.5174,0.3486,0.4694
0.3314,0.5723,0.3515,0.5171
0.4671,0.3239,0.4846,0.2959
0.3146,0.2708,0.3465,0.2979
0.346,0.353,0.3881,0.3804
0.3666,0.0203,0.3881,0.0747
0.4366,0.0764,0.4431,0.0203
0.2909,0.2702,0.3133,0.2986
0.3465,0.6278,0.3486,0.6766
0.432,0.4086,0.4669,0.4366
0.468,0.3519,0.4864,0.3239
0.3133,0.2986,0.3461,0.3252
0.4248,0.6773,0.4309,0.6296
0.3465,0.6278,0.3568,0.572
0.67,0.1313,0.6815,0.0743
0.5513,0.5748,0.5731,0.5184
0.6119,0.4087,0.6539,0.3811
0.5303,0.185,0.5405,0.2343
0.6119,0.1866,0.6434,0.1306
